county,crude_rate_per_100_000
Adams,438.14
Ashland,1240.73
Barron,723.69
Bayfield,764.69
Brown,667.69
Buffalo,687.03
Burnett,745.48
Calumet,244.7
Chippewa,775.37
Clark,539.04
Columbia,677.06
Crawford,481.04
Dane,555.26
Dodge,658.12
Door,691.21
Douglas,820.04
Dunn,584.87
Eau Claire,834.92
Florence,255.97
Fond du Lac,776.22
Forest,831.47
Grant,534.36
Green,491.63
Green Lake,868.89
Iowa,544.73
Iron,594.47
Jackson,638.32
Jefferson,536.23
Juneau,602.99
Kenosha,619.72
Kewaunee,601.27
La Crosse,645.92
Lafayette,462.17
Langlade,603.3
Lincoln,722.44
Manitowoc,714.53
Marathon,577.71
Marinette,640.66
Marquette,836.55
Menominee,1644.03
Milwaukee,913.29
Monroe,522.67
Oconto,527.34
Oneida,876.69
Outagamie,561.61
Ozaukee,697.78
Pepin,647.77
Pierce,613.66
Polk,802.91
Portage,615.12
Price,705.27
Racine,789.91
Richland,555.88
Rock,713.15
Rusk,599.18
Sauk,592.91
Sawyer,867.5
Shawano,611.46
Sheboygan,695.85
St. Croix,490.54
Taylor,420.53
Trempealeau,601.96
Vernon,511.91
Vilas,820.6
Walworth,695.58
Washburn,845.6
Washington,701.59
Waukesha,661.25
Waupaca,794.36
Waushara,608.02
Winnebago,622.66
Wood,854.13
